TSNE1,TSNE2,Cluster
90.89942,-72.47276,0
-60.253033,16.414103,0
-110.370926,4.559618,-1
106.5185,50.408127,0
-70.76909,-77.5189,0
49.331955,-96.187454,0
-27.3397,96.95091,0
55.33522,-105.01934,0
48.737232,-86.605156,0
62.33724,80.65761,0
-119.3341,7.5934467,-1
-119.3341,7.5934467,-1
-119.3341,7.5934467,-1
58.580708,79.31035,0
57.351105,74.850975,0
-119.38936,7.6391683,-1
-118.5368,7.3492994,-1
-118.5368,7.3492994,-1
-118.5368,7.3492994,-1
27.868176,104.27112,0
81.51227,25.334858,0
90.58748,-42.94732,0
57.82626,75.570465,0
47.59028,93.62202,0
47.26939,90.14373,0
114.5815,8.347361,0
-44.53166,-12.295268,0
-12.479715,5.1444364,0
-119.3341,7.5934467,-1
55.6013,84.98152,0
55.160297,93.04756,0
-15.524915,57.145454,0
-109.14669,40.43467,0
19.626513,84.32142,-1
-119.38936,7.6391683,-1
-3.7706184,-103.72388,0
-52.321,-23.153685,0
-35.350784,33.701122,0
-8.686831,-9.75409,0
38.226467,39.007473,0
25.157932,-65.385956,0
15.817526,-51.610683,0
52.35691,47.88617,0
19.727549,-35.920246,0
-32.758343,1.6320007,0
80.81712,3.6750464,0
38.226467,39.007473,0
-43.463272,-92.260605,0
-28.144562,10.815703,0
-37.26033,-18.277359,0
-31.480139,12.735036,0
114.5772,8.347736,0
-47.625706,-2.1512415,0
-63.50291,-30.176746,0
2.2741818,42.49352,0
-7.216628,65.134544,0
-9.133592,-108.82552,0
-9.133592,-108.82552,0
82.56995,21.546293,0
51.74788,-23.195532,0
-19.2693,-43.02104,0
19.928478,56.17122,0
13.46027,55.752674,0
16.693956,41.57844,0
12.681261,41.41236,0
61.88579,-97.63609,0
16.723293,41.60195,0
12.422646,38.85914,0
54.219498,-91.84577,0
-83.697495,77.49484,0
3.5083652,69.63476,0
-34.748447,-21.082783,0
86.028595,-13.63426,0
85.59655,-14.1721945,0
-48.754837,-39.438683,0
72.64611,-87.65656,0
72.64611,-87.65656,0
85.60212,-14.167394,0
72.49593,-87.515976,0
86.069984,-13.546743,0
26.530706,-113.50887,0
79.52029,-6.5002036,-1
79.394295,-20.529778,0
26.530706,-113.50887,0
85.749954,-14.095619,0
72.49514,-87.51489,0
85.20711,-14.250513,0
85.35797,-13.822742,0
76.88855,-16.622715,0
77.00795,-17.139263,0
22.163408,-72.68713,0
17.042416,39.975773,0
14.811744,43.365276,0
16.94823,43.00746,0
14.963783,43.52484,0
16.2207,45.040012,0
66.8582,25.746904,0
12.254664,-120.83052,0
-48.322872,-74.45677,0
-48.303192,-74.44964,0
85.61295,-14.14756,0
45.482582,92.48293,0
-52.328064,-1.1015538,0
85.35868,-14.228796,0
85.85071,-13.555153,0
58.884247,-93.42902,0
85.51577,-13.6063385,0
85.18733,-14.253237,0
85.93096,-13.819327,0
77.007286,-17.139473,0
58.910667,-93.181786,0
17.707787,41.1124,0
86.88693,-10.579107,0
85.996796,-13.740678,0
72.64611,-87.65656,0
-64.48804,51.213226,0
11.712459,-67.659546,0
-20.939966,-22.894247,0
-15.373016,24.127228,0
71.22036,47.850628,0
71.22036,47.850628,0
71.220665,47.849007,0
-4.181563,-89.19135,0
98.999245,25.93956,0
47.26939,90.14373,0
85.53262,-14.168086,0
-46.417885,-0.07579091,-1
89.6771,-51.90914,0
-23.476065,-100.879616,0
-18.788136,-112.31285,0
-23.550133,-100.70166,0
-17.091091,-103.63564,0
74.77739,-85.78736,0
51.946102,-93.81656,0
5.9071407,-112.01204,0
-30.371033,-104.9334,0
33.89502,43.224777,0
-16.367361,-30.168854,0
90.652374,-71.65667,0
71.20402,47.72201,0
43.53775,25.658195,0
-28.759907,-42.919098,0
40.441105,18.730528,0
112.360344,21.337435,0
-76.61066,91.08972,0
82.62585,-6.0685935,0
81.84132,-5.1807566,-1
